Flujo,Fecha,Cod. RPM,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,BOLT1220,30.3500,30.0000,29.5000,28.8250,29.0500,28.7500,27.2750,24.4750,22.5500,22.3750,22.1500,22.4500,24.4250,24.4250,25.5250,26.0000,27.5250,29.0250,31.7000,31.6500,30.6250,29.8750,29.7000,29.8750,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,BOLT1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,BOLT1220,30.1750,30.5750,30.3250,29.8500,29.5250,29.3500,27.3500,24.3000,22.1000,21.4000,21.4000,23.7750,24.7000,24.7500,24.5750,25.8250,27.0000,27.9500,29.9750,29.4500,29.3250,30.4250,31.0750,31.1250,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,BOLT1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,BOLT2220,30.1750,29.4000,29.0750,28.5750,28.0250,27.2750,25.7750,23.8000,22.6250,22.3750,22.8250,23.6500,24.4250,26.6750,26.8500,27.9250,29.2000,29.5500,31.8500,31.3750,31.2000,31.9500,32.3500,32.4250,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,BOLT2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,BOLT2220,32.0750,30.6500,29.6750,28.4000,28.7500,28.3000,26.1000,24.2500,23.0500,22.5000,22.9250,23.3000,24.1000,25.0750,25.6000,26.4250,28.1250,28.7500,30.3000,30.0000,30.3250,31.2750,31.6750,31.2250,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,BOLT2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,BOLT2220,30.3750,30.0250,29.5250,28.8500,29.1000,28.7750,27.2500,24.3500,22.3750,22.1500,21.8000,22.1750,24.1750,24.1500,25.4250,25.8750,27.5000,29.1000,31.7750,31.6750,30.6250,29.9000,29.7500,29.9250,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,BOLT2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,BOLT2220,30.2000,30.6000,30.4000,29.8750,29.5500,29.3750,27.3250,24.2000,21.9000,21.1250,21.1250,23.4750,24.4000,24.7250,24.4250,25.7500,26.9500,28.0250,30.0500,29.4500,29.3750,30.5000,31.1250,31.1500,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,BOLT2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,BQET4220,52.1304,50.4565,49.9783,48.7826,47.7065,46.5109,45.4348,47.0489,50.0380,52.0109,54.1630,55.8967,56.4946,58.2880,59.7228,59.7228,58.2880,55.0000,55.7174,53.9837,53.6250,55.1196,56.3152,56.9728,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,BQET4220,55.8370,53.1467,51.1739,48.8424,48.3641,47.2880,45.6739,47.2283,50.0380,51.8315,53.6848,54.8804,55.1793,57.3315,57.8696,57.5109,56.4946,53.6250,53.5652,52.4891,52.2500,53.0272,53.2663,52.6685,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,BQET4220,51.8913,51.6522,50.7554,49.2609,49.2011,48.6033,47.3478,47.2880,48.8424,50.0978,50.2174,51.6522,52.0707,52.7880,53.1467,53.1467,52.4293,51.4728,53.4457,52.3696,50.0380,48.4837,48.9022,49.7391,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,BQET4220,50.2174,51.2337,51.2935,50.5761,49.7391,49.2609,47.1087,45.9728,45.9728,46.8098,47.9457,49.1413,50.5163,51.5924,51.6522,51.9511,51.2337,49.9185,51.2337,50.3370,50.1576,51.7120,52.7283,52.7880,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,BQET5220,52.1902,50.5761,50.0978,48.9022,47.7663,46.6304,45.5543,47.3478,50.3370,52.3098,54.4620,56.1359,56.7935,58.5870,60.0217,59.8424,58.4076,55.0598,55.9565,54.1033,53.8043,55.3587,56.5543,57.0924,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,BQET5220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,BQET5220,55.8967,53.2065,51.1739,48.9620,48.4837,47.3478,45.7935,47.5272,50.3370,52.1304,53.9837,55.1196,55.4185,57.6304,58.1087,57.6902,56.5543,53.7446,53.7446,52.6087,52.5489,53.2065,53.3859,52.7880,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,BQET5220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,BQET5220,52.0707,51.7120,50.9348,49.3207,49.3804,48.7228,47.4076,47.5272,49.0815,50.3370,50.3967,51.8913,52.3098,53.0272,53.3261,53.3261,52.5489,51.7120,53.6250,52.4293,50.0978,48.6630,49.0815,49.9185,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,BQET5220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,BQET5220,50.4565,51.3533,51.4130,50.7554,49.8587,49.3804,47.1087,46.0924,46.1522,47.0489,48.1250,49.4402,50.6957,51.7717,51.8913,52.0707,51.2935,50.0978,51.4130,50.3967,50.3370,51.8913,52.9076,52.9674,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,BQET5220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,BQET6220,51.8913,50.2174,49.7391,48.6033,47.4674,46.3315,45.2554,46.9293,49.9185,51.8315,53.9837,55.7772,56.3152,58.1087,59.5435,59.4239,58.0489,54.7609,55.4783,53.8043,53.3859,54.8804,56.1359,56.6739,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,BQET6220,55.5380,52.9076,50.9348,48.6033,48.1250,47.1087,45.4946,47.1087,49.9185,51.6522,53.5652,54.7011,55.0000,57.1522,57.6902,57.2717,56.2554,53.3859,53.3859,52.2500,52.1304,52.7880,53.0272,52.4293,,,,,,,,,,,,,,,,,,,,,,,
